starting the dnsdmpstr:

false
reversedns


google-proxy-74-125-210-0.google.com,74.125.210.0
rate-limited-proxy-108-177-70-0.google.com,108.177.70.0
google-proxy-66-249-80-0.google.com,66.249.80.0
google-proxy-74-125-211-0.google.com,74.125.211.0
rate-limited-proxy-74-125-151-0.google.com,74.125.151.0
rate-limited-proxy-142-250-91-0.google.com,142.250.91.0
rate-limited-proxy-66-249-91-0.google.com,66.249.91.0
google-proxy-192-178-12-0.google.com,192.178.12.0
google-proxy-142-250-32-0.google.com,142.250.32.0
rate-limited-proxy-108-177-72-0.google.com,108.177.72.0
google-proxy-66-249-82-0.google.com,66.249.82.0
rate-limited-proxy-66-249-92-0.google.com,66.249.92.0
google-proxy-192-178-13-0.google.com,192.178.13.0
google-proxy-74-125-213-0.google.com,74.125.213.0
rate-limited-proxy-108-177-73-0.google.com,108.177.73.0
google-proxy-64-233-173-0.google.com,64.233.173.0
google-proxy-66-249-93-0.google.com,66.249.93.0
google-proxy-192-178-14-0.google.com,192.178.14.0
google-proxy-74-125-214-0.google.com,74.125.214.0
rate-limited-proxy-108-177-65-0.google.com,108.177.65.0
rate-limited-proxy-108-177-75-0.google.com,108.177.75.0
google-proxy-66-102-6-0.google.com,66.102.6.0
rate-limited-proxy-108-177-66-0.google.com,108.177.66.0
google-proxy-66-102-7-0.google.com,66.102.7.0
rate-limited-proxy-74-125-217-0.google.com,74.125.217.0
rate-limited-proxy-108-177-67-0.google.com,108.177.67.0
rate-limited-proxy-108-177-77-0.google.com,108.177.77.0
rate-limited-proxy-66-249-87-0.google.com,66.249.87.0
google-proxy-66-102-8-0.google.com,66.102.8.0
google-proxy-192-178-8-0.google.com,192.178.8.0
google-proxy-74-125-208-0.google.com,74.125.208.0
rate-limited-proxy-74-125-218-0.google.com,74.125.218.0
rate-limited-proxy-74-125-148-0.google.com,74.125.148.0
rate-limited-proxy-108-177-78-0.google.com,108.177.78.0
google-proxy-66-249-88-0.google.com,66.249.88.0
google-proxy-66-102-9-0.google.com,66.102.9.0
google-proxy-192-178-9-0.google.com,192.178.9.0
google-proxy-74-125-209-0.google.com,74.125.209.0
rate-limited-proxy-74-125-219-0.google.com,74.125.219.0
rate-limited-proxy-74-125-149-0.google.com,74.125.149.0
rate-limited-proxy-108-177-69-0.google.com,108.177.69.0
rate-limited-proxy-108-177-79-0.google.com,108.177.79.0
rate-limited-proxy-66-249-89-0.google.com,66.249.89.0
rate-limited-proxy-72-14-199-0.google.com,72.14.199.0
netnod-ix-hel-blue-9000.google.com,185.1.230.6
google-proxy-192-178-10-100.google.com,192.178.10.100
rate-limited-proxy-74-125-150-100.google.com,74.125.150.100
rate-limited-proxy-108-177-70-100.google.com,108.177.70.100
google-proxy-66-249-80-100.google.com,66.249.80.100
google-proxy-74-125-211-100.google.com,74.125.211.100
rate-limited-proxy-192-178-21-100.google.com,192.178.21.100
rate-limited-proxy-108-177-71-100.google.com,108.177.71.100
rate-limited-proxy-66-249-91-100.google.com,66.249.91.100
google-proxy-192-178-12-100.google.com,192.178.12.100
google-proxy-74-125-212-100.google.com,74.125.212.100
google-proxy-142-250-32-100.google.com,142.250.32.100
rate-limited-proxy-108-177-72-100.google.com,108.177.72.100
google-proxy-64-233-172-100.google.com,64.233.172.100
google-proxy-66-249-83-100.google.com,66.249.83.100
google-proxy-192-178-14-100.google.com,192.178.14.100
google-proxy-74-125-214-100.google.com,74.125.214.100
google-proxy-66-249-84-100.google.com,66.249.84.100
google-proxy-74-125-215-100.google.com,74.125.215.100
rate-limited-proxy-108-177-75-100.google.com,108.177.75.100
google-proxy-66-102-6-100.google.com,66.102.6.100
rate-limited-proxy-74-125-216-100.google.com,74.125.216.100
rate-limited-proxy-108-177-66-100.google.com,108.177.66.100
rate-limited-proxy-192-178-17-100.google.com,192.178.17.100
rate-limited-proxy-74-125-217-100.google.com,74.125.217.100
rate-limited-proxy-108-177-77-100.google.com,108.177.77.100
google-proxy-66-102-8-100.google.com,66.102.8.100
google-proxy-74-125-208-100.google.com,74.125.208.100
rate-limited-proxy-74-125-218-100.google.com,74.125.218.100
rate-limited-proxy-203-208-38-100.google.com,203.208.38.100
rate-limited-proxy-209-85-238-100.google.com,209.85.238.100
