Domain                                                 ,Associated Domains
accounts.google.com                                    ,accounts.google.com
checkout.google.com                                    ,checkout.google.com
classroom.google.com                                   ,"*.classroom.google.com, classroom.google.com"
misc-sni.google.com                                    ,"*.aiplatform-notebook.cloud.google.com, *.aiplatform-training.cloud.google.com, *.backupdr-autopush.cloud.google.com, *.backupdr.cloud.google.com, *.backupdr-dev.cloud.google.com, *.backupdr-sandbox.cloud.google.com, *.backupdr-staging.cloud.google.com, colab.research.google.com, *.composer.cloud.google.com, *.composer-dev.cloud.google.com, *.composer-qa.cloud.google.com, *.composer-staging.cloud.google.com, console.eu.cloud.google.com, *.datafusion-api.cloud.google.com, *.datafusion-api-dev.cloud.google.com, *.datafusion-api-staging.cloud.google.com, *.datafusion.cloud.google.com, *.datafusion-dev.cloud.google.com, *.datafusion-staging.cloud.google.com, *.datalab.cloud.google.com, *.dataplex.cloud.google.com, *.dataplex-dev.cloud.google.com, *.dataplex-staging.cloud.google.com, *.dataproc.cloud.google.com, *.dataproc-image-staging.cloud.google.com, *.dataproc-staging.cloud.google.com, *.dataproc-test.cloud.google.com, datasetsearch.research.google.com, dg-meta.video.google.com, *.discover.google.com, discover.google.com, *.earthengine.google.com, ehr-search.health.google.com, *.fiber.google.com, *.healthcare.cloud.google.com, *.mapmaker.google.com, *.microhost.google.com, misc-sni.google.com, *.notebooks.cloud.google.com, *.pipelines.cloud.google.com, *.tensorboard-autopush.cloud.google.com, *.tensorboard.cloud.google.com, *.tensorboard-dev.cloud.google.com, *.tensorboard-staging.cloud.google.com, *.tensorboard-test.cloud.google.com"
nestrenew.google.com                                   ,"*.nestrenew.google.com, nestrenew.google.com"
discover.google.com                                    ,"*.discover.google.com, discover.google.com"
status.play.google.com                                 ,status.play.google.com
*.ewoq.google.com                                      ,*.ewoq.google.com
*.webapp.google.com                                    ,*.webapp.google.com
*.apis.google.com                                      ,"*.apis.google.com, apis.google.com"
mail.google.com                                        ,"inbox.google.com, mail.google.com"
m.google.com                                           ,m.google.com
ecc-test.sandbox.google.com                            ,ecc-test.sandbox.google.com
*.sa.cloud.google.com                                  ,"console.sa.cloud.google.com, *.sa.cloud.google.com"
status.search.google.com                               ,status.search.google.com
*.calendar.google.com                                  ,*.calendar.google.com
sandbox.google.com                                     ,sandbox.google.com
*.vp.video.l.google.com                                ,"dg.video.google.com, *.vp.video.l.google.com"
console.nest.google.com                                ,console.nest.google.com
*.calljoy.com                                          ,calljoy.area120.google.com
